id_funcionario;CPF;PIS;Nome;Matrícula;Folha;CTPS;Empresa;Departamento;Cargo;Centro de Custo;Código de Barras do Crachá;RG;Telefone;Ramal;Email;Habilitar login através de e-mail;Habilitar login através de CPF;Senha para acesso através de CPF;Endereço;Bairro;Cidade;UF;CEP;Data de Admissão;Nome do Pai;Nome da Mãe;Data de Nascimento;Naturalidade;Crachá;Código para Uso no REP;Senha para Uso no REP;Administrador do REP;Ativo;Gênero (masculino/feminino/outros);Estado Civíl (solteiro/casado/divorciado/uniao estavel/separado);PIN;Data de Início do Banco de Horas;Utiliza Cerca Geográfica;Pode Trabalhar em Todos os Locais Cadastrados;Modo Quiosque (1=pin,2=qrcode,3=pin+qrcode);Habilita Acesso Mobile;Habilita Reconhecimento Facial;Permitir marcação mobile no acesso do funcionário;Permitir marcação mobile no modo quiosque;Habilita Marcação Web;Permite Alterações/Solicitações no Acesso Web;Foto Obrigatória no Mobile;Foto Obrigatória na Marcação Web;Menu Informações Gerais;Menu Ponto Diário;Menu Meu Histórico;Menu Minhas Solicitações;Menu Modo Quiosque;Fluxo de Aprovação;Horário de Trabalho;Data de Início do Horário de Trabalho;Perfil do Funcionário;Fuso Horário;Menu Visualizar Ponto;Menu Assinar Ponto;Menu Espelho Ponto;Menu Comprovantes;CNH;Categoria da CNH;Vencimento da CNH;Nome Social;Data de Demissão;Observações;Motivo de demissão;Permite Lançar Apenas Justificativas;Telefone de Emergência;Tipo Sanguineo (A+/A−/B+/B−/AB+/AB−/O+/O−);Nacionalidade;Expirar senha atual;Menu Documentos
;529.000.001-14;17000000013;Victor Hugo Costa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.002-03;17000000021;Rodrigo Mendes Castro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.003-86;17000000030;Mariana Alcantara Paes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.004-67;17000000048;Carlos Eduardo Silva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.005-48;17000000056;Fernando Pacheco Ramos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.006-29;17000000064;Lucas Pinheiro Gomes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.007-00;17000000072;Juliana Moreira Lima;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.008-90;17000000080;Gabriel Santana Rocha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.009-71;17000000099;Ana Beatriz Fontes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.010-05;17000000102;Eduardo Fagundes Neves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.011-96;17000000110;Thiago Barbosa Santos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.012-77;17000000129;Leticia Duarte Toledo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.013-58;17000000137;Marcio Rezende Costa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.014-39;17000000145;Camila Vasconcelos Prado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.015-10;17000000153;Beatriz Lima Miranda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.016-09;17000000161;Renato Albuquerque Dias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.017-81;17000000170;Isabela Guimarães Nogueira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.018-62;17000000188;Felipe Macedo Carvalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.019-43;17000000196;Patricia Antunes Souza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;529.000.020-87;17000000200;Danilo Faria Moreira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
